sku,type,title,photo_group,photo_order,photo_count,source_file,hosted_file,raw_url
PKM-20260821-001,Italian,Pokemon Italian Fossil Dragonite 4/62 Holo WOTC 1999,1,1,5,IMG_5950.HEIC,individuals/20260821/001-01.jpg,https://raw.githubusercontent.com/chandlersimon/pokemon-ebay-images/main/individuals/20260821/001-01.jpg
PKM-20260821-001,Italian,Pokemon Italian Fossil Dragonite 4/62 Holo WOTC 1999,1,2,5,IMG_5951.HEIC,individuals/20260821/001-02.jpg,https://raw.githubusercontent.com/chandlersimon/pokemon-ebay-images/main/individuals/20260821/001-02.jpg
PKM-20260821-001,Italian,Pokemon Italian Fossil Dragonite 4/62 Holo WOTC 1999,1,3,5,IMG_5952.HEIC,individuals/20260821/001-03.jpg,https://raw.githubusercontent.com/chandlersimon/pokemon-ebay-images/main/individuals/20260821/001-03.jpg
PKM-20260821-001,Italian,Pokemon Italian Fossil Dragonite 4/62 Holo WOTC 1999,1,4,5,IMG_5953.HEIC,individuals/20260821/001-04.jpg,https://raw.githubusercontent.com/chandlersimon/pokemon-ebay-images/main/individuals/20260821/001-04.jpg
PKM-20260821-001,Italian,Pokemon Italian Fossil Dragonite 4/62 Holo WOTC 1999,1,5,5,IMG_5954.HEIC,individuals/20260821/001-05.jpg,https://raw.githubusercontent.com/chandlersimon/pokemon-ebay-images/main/individuals/20260821/001-05.jpg
PKM-20260821-002,Italian,Pokemon Italian Team Rocket Dark Dragonite 5/82 Holo WOTC 2000,2,1,5,IMG_5955.HEIC,individuals/20260821/002-01.jpg,https://raw.githubusercontent.com/chandlersimon/pokemon-ebay-images/main/individuals/20260821/002-01.jpg
PKM-20260821-002,Italian,Pokemon Italian Team Rocket Dark Dragonite 5/82 Holo WOTC 2000,2,2,5,IMG_5956.HEIC,individuals/20260821/002-02.jpg,https://raw.githubusercontent.com/chandlersimon/pokemon-ebay-images/main/individuals/20260821/002-02.jpg
PKM-20260821-002,Italian,Pokemon Italian Team Rocket Dark Dragonite 5/82 Holo WOTC 2000,2,3,5,IMG_5957.HEIC,individuals/20260821/002-03.jpg,https://raw.githubusercontent.com/chandlersimon/pokemon-ebay-images/main/individuals/20260821/002-03.jpg
PKM-20260821-002,Italian,Pokemon Italian Team Rocket Dark Dragonite 5/82 Holo WOTC 2000,2,4,5,IMG_5958.HEIC,individuals/20260821/002-04.jpg,https://raw.githubusercontent.com/chandlersimon/pokemon-ebay-images/main/individuals/20260821/002-04.jpg
PKM-20260821-002,Italian,Pokemon Italian Team Rocket Dark Dragonite 5/82 Holo WOTC 2000,2,5,5,IMG_5959.HEIC,individuals/20260821/002-05.jpg,https://raw.githubusercontent.com/chandlersimon/pokemon-ebay-images/main/individuals/20260821/002-05.jpg
PKM-20260821-003,Italian,Pokemon Italian Team Rocket Dark Arbok 2/82 Holo WOTC 2000,3,1,5,IMG_5960.HEIC,individuals/20260821/003-01.jpg,https://raw.githubusercontent.com/chandlersimon/pokemon-ebay-images/main/individuals/20260821/003-01.jpg
PKM-20260821-003,Italian,Pokemon Italian Team Rocket Dark Arbok 2/82 Holo WOTC 2000,3,2,5,IMG_5961.HEIC,individuals/20260821/003-02.jpg,https://raw.githubusercontent.com/chandlersimon/pokemon-ebay-images/main/individuals/20260821/003-02.jpg
PKM-20260821-003,Italian,Pokemon Italian Team Rocket Dark Arbok 2/82 Holo WOTC 2000,3,3,5,IMG_5962.HEIC,individuals/20260821/003-03.jpg,https://raw.githubusercontent.com/chandlersimon/pokemon-ebay-images/main/individuals/20260821/003-03.jpg
PKM-20260821-003,Italian,Pokemon Italian Team Rocket Dark Arbok 2/82 Holo WOTC 2000,3,4,5,IMG_5963.HEIC,individuals/20260821/003-04.jpg,https://raw.githubusercontent.com/chandlersimon/pokemon-ebay-images/main/individuals/20260821/003-04.jpg
PKM-20260821-003,Italian,Pokemon Italian Team Rocket Dark Arbok 2/82 Holo WOTC 2000,3,5,5,IMG_5964.HEIC,individuals/20260821/003-05.jpg,https://raw.githubusercontent.com/chandlersimon/pokemon-ebay-images/main/individuals/20260821/003-05.jpg
PKM-20260821-004,Grass,Pokemon Gym Challenge Koga's Koffing 48/132 WOTC 2000,4,1,5,IMG_5965.HEIC,individuals/20260821/004-01.jpg,https://raw.githubusercontent.com/chandlersimon/pokemon-ebay-images/main/individuals/20260821/004-01.jpg
PKM-20260821-004,Grass,Pokemon Gym Challenge Koga's Koffing 48/132 WOTC 2000,4,2,5,IMG_5966.HEIC,individuals/20260821/004-02.jpg,https://raw.githubusercontent.com/chandlersimon/pokemon-ebay-images/main/individuals/20260821/004-02.jpg
PKM-20260821-004,Grass,Pokemon Gym Challenge Koga's Koffing 48/132 WOTC 2000,4,3,5,IMG_5967.HEIC,individuals/20260821/004-03.jpg,https://raw.githubusercontent.com/chandlersimon/pokemon-ebay-images/main/individuals/20260821/004-03.jpg
